TYPE_ENG,COD_OPER_OPER,LIB_OPER,REMBPPRINCIPAL,REMBECHOIRINT,CREDIT,NUM_TR,ACTIVITE,DAT_ECH_ECHCD,AGENCE,COD_PRD_PRD,NAT_RESS,CAT_FOND,TYP_FOND,AGENT_ECO,CREANCE,SCLAS_SEGMENT,TERME,DAT_REMB_RMBINV,CLASSE
INV,1418,Règlement forcé des impayés,481928,153309,1,1,120JJ67,31/10/2019,46,2141,1,1,1,26,4.0,61.0,L,17/02/2021,4.0
INV,1418,Règlement forcé des impayés,481928,139939,1,1,120JJ67,30/11/2019,46,2141,1,1,1,26,4.0,61.0,L,17/02/2021,4.0
INV,1418,Règlement forcé des impayés,481928,131196,1,1,120JJ67,31/12/2019,46,2141,1,1,1,26,4.0,61.0,L,17/02/2021,4.0
INV,1418,Règlement forcé des impayés,481928,141711,1,1,120JJ67,31/01/2020,46,2141,1,1,1,26,4.0,61.0,L,16/06/2021,4.0
INV,1418,Règlement forcé des impayés,481928,127326,1,1,120JJ67,29/02/2020,46,2141,1,1,1,26,4.0,61.0,L,16/06/2021,4.0
INV,1418,Règlement forcé des impayés,481928,120120,1,1,120JJ67,31/03/2020,46,2141,1,1,1,26,4.0,61.0,L,16/06/2021,4.0
INV,1418,Règlement forcé des impayés,481928,131306,1,1,120JJ67,30/04/2020,46,2141,1,1,1,26,4.0,61.0,L,12/11/2021,4.0
INV,1418,Règlement forcé des impayés,481928,120090,1,1,120JJ67,31/05/2020,46,2141,1,1,1,26,4.0,61.0,L,12/11/2021,4.0
INV,1418,Règlement forcé des impayés,481928,108848,1,1,120JJ67,30/06/2020,46,2141,1,1,1,26,4.0,61.0,L,12/11/2021,4.0
INV,1418,Règlement forcé des impayés,481928,99544,1,1,120JJ67,31/07/2020,46,2141,1,1,1,26,4.0,61.0,L,12/11/2021,4.0
INV,1418,Règlement forcé des impayés,481928,147585,1,1,120JJ67,31/08/2020,46,2141,1,1,1,26,4.0,61.0,L,15/09/2022,4.0
INV,1418,Règlement forcé des impayés,481928,136164,1,1,120JJ67,30/09/2020,46,2141,1,1,1,26,4.0,61.0,L,15/09/2022,4.0
INV,1416,Règlement forcé des échéances,2678583,69708,1,2,241II60,31/01/2021,43,2141,1,1,1,26,0.0,61.0,L,28/01/2021,0.0
INV,1415,Règlement des échéances,83333333,4002283,1,1,220DH25,31/12/2020,19,2140,1,1,1,15,0.0,31.0,L,06/01/2021,0.0
INV,1415,Règlement des échéances,83333341,1909720,1,1,220DH25,31/03/2021,19,2140,1,1,1,15,0.0,31.0,L,01/04/2021,0.0
INV,1415,Règlement des échéances,5357143,284671,2,1,485GG52,31/12/2020,88,2142,1,1,1,15,0.0,50.0,L,11/01/2021,0.0
INV,1415,Règlement des échéances,5357139,136160,2,1,485GG52,31/03/2021,88,2142,1,1,1,15,0.0,50.0,L,01/04/2021,0.0
INV,1416,Règlement forcé des échéances,17500000,866118,3,1,630GG52,31/01/2021,94,2142,1,1,1,15,0.0,41.0,L,01/02/2021,0.0
INV,1415,Règlement des échéances,17500000,419802,3,1,630GG52,30/04/2021,94,2142,1,1,1,15,0.0,41.0,L,30/04/2021,0.0
INV,1415,Règlement des échéances,963855,33600,4,1,300II60,31/01/2021,83,2142,1,1,1,26,0.0,61.0,L,01/02/2021,0.0
INV,1415,Règlement des échéances,963855,22830,4,1,300II60,28/02/2021,83,2142,1,1,1,26,0.0,61.0,L,01/03/2021,0.0
INV,1415,Règlement des échéances,963855,16983,4,1,300II60,31/03/2021,83,2142,1,1,1,26,0.0,61.0,L,01/04/2021,0.0
INV,1415,Règlement des échéances,963890,8217,4,1,300II60,30/04/2021,83,2142,1,1,1,26,0.0,61.0,L,30/04/2021,0.0
INV,1418,Règlement forcé des impayés,116505,663495,1,0,300MM80,31/08/2016,120,2141,1,1,1,26,4.0,61.0,L,02/06/2021,4.0
INV,1418,Règlement forcé des impayés,0,110921241,1,0,232FF45,30/11/2020,120,2142,1,1,1,15,0.0,11.0,L,01/06/2021,0.0
INV,1418,Règlement forcé des impayés,0,58421361,1,0,232FF45,31/05/2021,120,2142,1,1,1,15,0.0,11.0,L,01/06/2021,0.0
INV,1418,Règlement forcé des impayés,0,757583,1,1,110HH55,30/11/2021,120,2141,1,1,1,15,0.0,31.0,L,01/03/2022,0.0
INV,1417,Règlement des impayés,0,13180623,1,1,110HH55,30/11/2021,120,2141,1,1,1,15,0.0,31.0,L,30/12/2021,0.0
INV,1418,Règlement forcé des impayés,0,11579166,1,1,110HH55,28/02/2022,120,2141,1,1,1,15,0.0,31.0,L,01/03/2022,0.0
INV,1418,Règlement forcé des impayés,12395000,643776,1,1,250FF45,31/12/2020,120,2141,2,5,6,15,,51.0,L,31/03/2021,
INV,1418,Règlement forcé des impayés,3566000,185211,1,2,250FF45,31/12/2020,120,2141,2,5,6,15,,51.0,L,31/03/2021,
INV,1418,Règlement forcé des impayés,2893000,150257,1,3,250FF45,31/12/2020,120,2141,2,5,6,15,,51.0,L,31/03/2021,
INV,1416,Règlement forcé des échéances,3080000,1101521,1,1,890DA15,31/12/2020,120,2140,2,6,4,15,0.0,31.0,L,06/01/2021,0.0
INV,1416,Règlement forcé des échéances,18709000,6693230,1,0,890DA15,31/12/2020,120,2140,2,6,4,15,0.0,31.0,L,06/01/2021,0.0
INV,1416,Règlement forcé des échéances,28005000,10019183,1,2,890DA15,31/12/2020,120,2140,2,6,4,15,0.0,31.0,L,06/01/2021,0.0
INV,1416,Règlement forcé des échéances,1198000,451293,1,0,890DA15,28/02/2021,120,2140,2,6,4,15,0.0,31.0,L,01/03/2021,0.0
INV,1416,Règlement forcé des échéances,3080000,1006133,1,1,890DA15,30/06/2021,120,2140,2,6,4,15,0.0,31.0,L,07/07/2021,0.0
INV,1416,Règlement forcé des échéances,18709000,6113777,1,0,890DA15,30/06/2021,120,2140,2,6,4,15,0.0,31.0,L,07/07/2021,0.0
INV,1416,Règlement forcé des échéances,28005000,9151812,1,2,890DA15,30/06/2021,120,2140,2,6,4,15,0.0,31.0,L,07/07/2021,0.0
INV,1416,Règlement forcé des échéances,1198000,428157,1,0,890DA15,31/08/2021,120,2140,2,6,4,15,0.0,31.0,L,06/09/2021,0.0
INV,1416,Règlement forcé des échéances,3080000,944098,1,1,890DA15,31/12/2021,120,2140,2,6,4,15,0.0,31.0,L,04/01/2022,0.0
INV,1416,Règlement forcé des échéances,18709000,5736992,1,0,890DA15,31/12/2021,120,2140,2,6,4,15,0.0,31.0,L,04/01/2022,0.0
INV,1416,Règlement forcé des échéances,28005000,8587816,1,2,890DA15,31/12/2021,120,2140,2,6,4,15,0.0,31.0,L,04/01/2022,0.0
INV,1416,Règlement forcé des échéances,1198000,391060,1,0,890DA15,28/02/2022,120,2140,2,6,4,15,0.0,31.0,L,02/03/2022,0.0
INV,1416,Règlement forcé des échéances,3080000,851278,1,1,890DA15,30/06/2022,120,2140,2,6,4,15,0.0,31.0,L,06/07/2022,0.0
INV,1416,Règlement forcé des échéances,18709000,5173130,1,0,890DA15,30/06/2022,120,2140,2,6,4,15,0.0,31.0,L,06/07/2022,0.0
INV,1418,Règlement forcé des impayés,28005000,7750238,1,2,890DA15,30/06/2022,120,2140,2,6,4,15,0.0,31.0,L,01/07/2022,0.0
INV,1416,Règlement forcé des échéances,1198000,366926,1,0,890DA15,31/08/2022,120,2140,2,6,4,15,0.0,31.0,L,02/09/2022,0.0
INV,1415,Règlement des échéances,558393,389451,1,0,300MM80,31/01/2021,120,1268,1,1,1,18,0.0,71.0,L,01/02/2021,0.0
INV,1415,Règlement des échéances,591183,348944,1,0,300MM80,28/02/2021,120,1268,1,1,1,18,0.0,71.0,L,01/03/2021,0.0
INV,1415,Règlement des échéances,565501,385014,1,0,300MM80,31/03/2021,120,1268,1,1,1,18,0.0,71.0,L,01/04/2021,0.0
INV,1415,Règlement des échéances,578545,368243,1,0,300MM80,30/04/2021,120,1268,1,1,1,18,0.0,71.0,L,30/04/2021,0.0
INV,1415,Règlement des échéances,572574,376730,1,0,300MM80,31/05/2021,120,1268,1,1,1,18,0.0,71.0,L,31/05/2021,0.0
INV,1415,Règlement des échéances,585433,360166,1,0,300MM80,30/06/2021,120,1268,1,1,1,18,0.0,71.0,L,30/06/2021,0.0
INV,1415,Règlement des échéances,579734,367900,1,0,300MM80,31/07/2021,120,1268,1,1,1,18,0.0,71.0,L,02/08/2021,0.0
INV,1415,Règlement des échéances,583318,364455,1,0,300MM80,31/08/2021,120,1268,1,1,1,18,0.0,71.0,L,31/08/2021,0.0
INV,1415,Règlement des échéances,595895,347058,1,0,300MM80,30/09/2021,120,1268,1,1,1,18,0.0,71.0,L,30/09/2021,0.0
INV,1415,Règlement des échéances,590609,353499,1,0,300MM80,31/10/2021,120,1268,1,1,1,18,0.0,71.0,L,01/11/2021,0.0
INV,1415,Règlement des échéances,602994,337174,1,0,300MM80,30/11/2021,120,1268,1,1,1,18,0.0,71.0,L,30/11/2021,0.0
INV,1415,Règlement des échéances,597989,343988,1,0,300MM80,31/12/2021,120,1268,1,1,1,18,0.0,71.0,L,31/12/2021,0.0
INV,1415,Règlement des échéances,601686,339229,1,0,300MM80,31/01/2022,120,1268,1,1,1,18,0.0,71.0,L,31/01/2022,0.0
INV,1415,Règlement des échéances,630528,300107,1,0,300MM80,28/02/2022,120,1268,1,1,1,18,0.0,71.0,L,28/02/2022,0.0
INV,1415,Règlement des échéances,609304,329414,1,0,300MM80,31/03/2022,120,1268,1,1,1,18,0.0,71.0,L,31/03/2022,0.0
INV,1415,Règlement des échéances,621198,314426,1,0,300MM80,30/04/2022,120,1268,1,1,1,18,0.0,71.0,L,04/05/2022,0.0
INV,1415,Règlement des échéances,616912,319955,1,0,300MM80,31/05/2022,120,1268,1,1,1,18,0.0,71.0,L,31/05/2022,0.0
INV,1415,Règlement des échéances,628606,316071,1,0,300MM80,30/06/2022,120,1268,1,1,1,18,0.0,71.0,L,30/06/2022,0.0
INV,1415,Règlement des échéances,624613,335131,1,0,300MM80,31/07/2022,120,1268,1,1,1,18,0.0,71.0,L,01/08/2022,0.0
INV,1415,Règlement des échéances,628475,330080,1,0,300MM80,31/08/2022,120,1268,1,1,1,18,0.0,71.0,L,31/08/2022,0.0
INV,1415,Règlement des échéances,639865,314497,1,0,300MM80,30/09/2022,120,1268,1,1,1,18,0.0,71.0,L,30/09/2022,0.0
INV,1415,Règlement des échéances,636317,319453,1,0,300MM80,31/10/2022,120,1268,1,1,1,18,0.0,71.0,L,31/10/2022,0.0
INV,1415,Règlement des échéances,647501,309888,1,0,300MM80,30/11/2022,120,1268,1,1,1,18,0.0,71.0,L,30/11/2022,0.0
INV,1416,Règlement forcé des échéances,1610000,606903,1,1,890DA15,28/02/2021,120,2140,2,6,4,15,0.0,31.0,L,01/03/2021,0.0
INV,1416,Règlement forcé des échéances,1610000,575817,1,1,890DA15,31/08/2021,120,2140,2,6,4,15,0.0,31.0,L,06/09/2021,0.0
INV,1416,Règlement forcé des échéances,1610000,525955,1,1,890DA15,28/02/2022,120,2140,2,6,4,15,0.0,31.0,L,02/03/2022,0.0
INV,1416,Règlement forcé des échéances,1610000,493528,1,1,890DA15,31/08/2022,120,2140,2,6,4,15,0.0,31.0,L,02/09/2022,0.0
INV,1418,Règlement forcé des impayés,0,1435183,1,0,110HH55,30/11/2021,120,2141,1,1,1,15,0.0,31.0,L,01/03/2022,0.0
INV,1418,Règlement forcé des impayés,0,24970593,1,0,110HH55,30/11/2021,120,2141,1,1,1,15,0.0,31.0,L,30/12/2021,0.0
INV,1418,Règlement forcé des impayés,0,21936727,1,0,110HH55,28/02/2022,120,2141,1,1,1,15,0.0,31.0,L,01/03/2022,0.0
INV,1416,Règlement forcé des échéances,125000000,21265416,1,0,410GG52,31/12/2020,120,2144,1,1,1,15,0.0,,L,06/01/2021,0.0
INV,1416,Règlement forcé des échéances,125000000,17916666,1,0,410GG52,31/03/2021,120,2144,1,1,1,15,0.0,,L,06/04/2021,0.0
INV,1416,Règlement forcé des échéances,125000000,16020844,1,0,410GG52,30/06/2021,120,2144,1,1,1,15,0.0,,L,07/07/2021,0.0
INV,1416,Règlement forcé des échéances,125000000,13934167,1,0,410GG52,30/09/2021,120,2144,1,1,1,15,0.0,,L,05/10/2021,0.0
INV,1416,Règlement forcé des échéances,125000000,11574534,1,0,410GG52,31/12/2021,120,2144,1,1,1,15,0.0,,L,04/01/2022,0.0
INV,1416,Règlement forcé des échéances,125000000,9062500,1,0,410GG52,31/03/2022,120,2144,1,1,1,15,0.0,,L,04/04/2022,0.0
INV,1416,Règlement forcé des échéances,125000000,6989306,1,0,410GG52,30/06/2022,120,2144,1,1,1,15,0.0,,L,06/07/2022,0.0
INV,1416,Règlement forcé des échéances,125000000,5123888,1,0,410GG52,30/09/2022,120,2144,1,1,1,15,0.0,,L,04/10/2022,0.0
INV,1415,Règlement des échéances,1959079000,303111564,1,0,230JJ65,30/04/2021,120,2141,1,1,1,15,0.0,31.0,L,30/04/2021,0.0
INV,1415,Règlement des échéances,1959079000,233104240,1,0,230JJ65,31/10/2021,120,2141,1,1,1,15,0.0,31.0,L,01/11/2021,0.0
INV,1416,Règlement forcé des échéances,1959079000,152475078,1,0,230JJ65,30/04/2022,120,2141,1,1,1,15,0.0,31.0,L,06/05/2022,0.0
INV,1415,Règlement des échéances,1959078000,83358768,1,0,230JJ65,31/10/2022,120,2141,1,1,1,15,0.0,31.0,L,31/10/2022,0.0
INV,1416,Règlement forcé des échéances,2464000,928856,1,2,890DA15,28/02/2021,120,2140,2,6,4,15,0.0,31.0,L,01/03/2021,0.0
INV,1416,Règlement forcé des échéances,2464000,881283,1,2,890DA15,31/08/2021,120,2140,2,6,4,15,0.0,31.0,L,06/09/2021,0.0
INV,1416,Règlement forcé des échéances,2464000,804972,1,2,890DA15,28/02/2022,120,2140,2,6,4,15,0.0,31.0,L,02/03/2022,0.0
INV,1416,Règlement forcé des échéances,2464000,755345,1,2,890DA15,31/08/2022,120,2140,2,6,4,15,0.0,31.0,L,02/09/2022,0.0
INV,1417,Règlement des impayés,37500000,4702100,1,6,212II60,31/05/2020,120,2141,1,1,1,15,1.0,11.0,L,13/01/2021,1.0
INV,1417,Règlement des impayés,37500000,3608937,1,6,212II60,31/08/2020,120,2141,1,1,1,15,1.0,11.0,L,31/03/2021,1.0
INV,1418,Règlement forcé des impayés,32476375,40505,1,6,212II60,30/11/2020,120,2141,1,1,1,15,1.0,11.0,L,13/04/2021,1.0
INV,1418,Règlement forcé des impayés,5023625,1976375,1,6,212II60,30/11/2020,120,2141,1,1,1,15,1.0,11.0,L,08/04/2021,1.0
INV,1418,Règlement forcé des impayés,63164464,31835536,1,0,700GG51,29/02/2020,120,2144,1,1,1,15,1.0,41.0,L,22/03/2021,1.0
INV,1418,Règlement forcé des impayés,9642469,137531,1,0,700GG51,29/02/2020,120,2144,1,1,1,15,1.0,41.0,L,12/04/2021,1.0
INV,1417,Règlement des impayés,15800067,59786,1,0,700GG51,29/02/2020,120,2144,1,1,1,15,1.0,41.0,L,26/04/2021,1.0
INV,1417,Règlement des impayés,88607000,42419916,1,0,700GG51,31/05/2020,120,2144,1,1,1,15,1.0,41.0,L,26/04/2021,1.0
